epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.21610046923160553,,,,,
0,19,,0.1871248185634613,,,,,
0,29,,0.17202460765838623,,,,,
0,37,,,0.254902184009552,1760726.25,0.29559212923049927,1.10856294631958,0.18563592433929443
0,37,0.1923503428697586,,,,,,
1,39,,0.15630826354026794,,,,,
1,49,,0.11094170808792114,,,,,
1,59,,0.10283362865447998,,,,,
1,69,,0.1037401333451271,,,,,
1,75,,,0.18548527359962463,1405295.5,0.26049670577049255,0.9530463814735413,0.13021551072597504
1,75,0.11292639374732971,,,,,,
2,79,,0.08318369090557098,,,,,
2,89,,0.06547961384057999,,,,,
2,99,,0.06130435690283775,,,,,
2,109,,0.05492351949214935,,,,,
2,113,,,0.21773084998130798,1693219.875,0.29448461532592773,0.9967005252838135,0.13707643747329712
2,113,0.06775181740522385,,,,,,
3,119,,0.04523173347115517,,,,,
3,129,,0.04559977725148201,,,,,
3,139,,0.04395341873168945,,,,,
3,149,,0.037062183022499084,,,,,
3,151,,,0.2222556173801422,1615484.125,0.30419638752937317,1.0171962976455688,0.14249201118946075
3,151,0.04684033617377281,,,,,,
4,159,,0.03708450496196747,,,,,
4,169,,0.04018520191311836,,,,,
4,179,,0.039029113948345184,,,,,
4,189,,0.04297517240047455,,,,,
4,189,,,0.19423381984233856,1462487.25,0.2736752927303314,0.9662051796913147,0.12442968785762787
4,189,0.03912431001663208,,,,,,
5,199,,0.03657545894384384,,,,,
5,209,,0.03799370303750038,,,,,
5,219,,0.0320713073015213,,,,,
5,227,,,0.20164422690868378,1489749.375,0.2814217805862427,0.9620547890663147,0.13118258118629456
5,227,0.03439158573746681,,,,,,
6,229,,0.031708914786577225,,,,,
6,239,,0.03423091769218445,,,,,
6,249,,0.02822844870388508,,,,,
6,259,,0.032375071197748184,,,,,
6,265,,,0.19280649721622467,1451641.5,0.27282848954200745,0.9571407437324524,0.12674136459827423
6,265,0.0319596491754055,,,,,,
7,269,,0.02942975051701069,,,,,
7,279,,0.029309285804629326,,,,,
7,289,,0.030480315908789635,,,,,
7,299,,0.029448028653860092,,,,,
7,303,,,0.1973377913236618,1512281.75,0.2797429859638214,0.9520976543426514,0.13010677695274353
7,303,0.029546504840254784,,,,,,
8,309,,0.02912325970828533,,,,,
8,319,,0.03077966719865799,,,,,
8,329,,0.030136780813336372,,,,,
8,339,,0.02439102903008461,,,,,
8,341,,,0.19739927351474762,1533698.75,0.27740728855133057,0.9562777876853943,0.13286568224430084
8,341,0.027708282694220543,,,,,,
9,349,,0.025610435754060745,,,,,
9,359,,0.027209589257836342,,,,,
9,369,,0.027439994737505913,,,,,
9,379,,0.02684817463159561,,,,,
9,379,,,0.20288853347301483,1568884.5,0.28148892521858215,0.9659557938575745,0.13850414752960205
9,379,0.026575900614261627,,,,,,
10,389,,0.027445517480373383,,,,,
10,399,,0.02466740272939205,,,,,
10,409,,0.023456331342458725,,,,,
