epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.1325615644454956,,,,,
0,19,,0.09840553998947144,,,,,
0,29,,0.08761072158813477,,,,,
0,37,,,0.3103189170360565,2148575.0,0.3441559672355652,1.200912356376648,0.1798812747001648
0,37,0.11081305146217346,,,,,,
1,39,,0.06784608960151672,,,,,
1,49,,0.06592944264411926,,,,,
1,59,,0.04927819222211838,,,,,
1,69,,0.05059708654880524,,,,,
1,75,,,0.2172137051820755,1527452.625,0.26531338691711426,1.0387821197509766,0.14558635652065277
1,75,0.05673595517873764,,,,,,
2,79,,0.041263602674007416,,,,,
2,89,,0.04062115401029587,,,,,
2,99,,0.0438600592315197,,,,,
2,109,,0.038474686443805695,,,,,
2,113,,,0.20602920651435852,1432737.0,0.25806838274002075,1.0068670511245728,0.14356489479541779
2,113,0.04004569724202156,,,,,,
3,119,,0.03798467665910721,,,,,
3,129,,0.029604243114590645,,,,,
3,139,,0.0328376442193985,,,,,
3,149,,0.032530613243579865,,,,,
3,151,,,0.22096499800682068,1495369.25,0.2719970941543579,1.0351470708847046,0.1507030874490738
3,151,0.03479709476232529,,,,,,
4,159,,0.03607277199625969,,,,,
4,169,,0.03294377774000168,,,,,
4,179,,0.030311472713947296,,,,,
4,189,,0.030164845287799835,,,,,
4,189,,,0.20924422144889832,1434546.625,0.2639544606208801,1.0064339637756348,0.14648929238319397
4,189,0.031189793720841408,,,,,,
5,199,,0.026762424036860466,,,,,
5,209,,0.028893642127513885,,,,,
5,219,,0.027020374312996864,,,,,
5,227,,,0.20044562220573425,1390703.625,0.2570086419582367,0.9865427017211914,0.14190241694450378
5,227,0.028167540207505226,,,,,,
6,229,,0.025584004819393158,,,,,
6,239,,0.027089400216937065,,,,,
6,249,,0.02488226443529129,,,,,
6,259,,0.025087108835577965,,,,,
6,265,,,0.20549385249614716,1440970.125,0.26419463753700256,0.9889485239982605,0.1484476923942566
6,265,0.02598021924495697,,,,,,
7,269,,0.023471439257264137,,,,,
7,279,,0.024577869102358818,,,,,
7,289,,0.023690789937973022,,,,,
7,299,,0.024303920567035675,,,,,
7,303,,,0.1930995136499405,1378499.375,0.254061758518219,0.9604254364967346,0.1407625675201416
7,303,0.02427905984222889,,,,,,
8,309,,0.02522549219429493,,,,,
8,319,,0.02349729649722576,,,,,
8,329,,0.02288530021905899,,,,,
8,339,,0.021390752866864204,,,,,
8,341,,,0.20008958876132965,1415869.5,0.26169851422309875,0.9715476036071777,0.14725813269615173
8,341,0.023366089910268784,,,,,,
9,349,,0.022089200094342232,,,,,
9,359,,0.02333340235054493,,,,,
9,369,,0.019356366246938705,,,,,
