event_start,CountyFIPS,county_pop,pre_outage_tracked_customers,days_since_data_start,duration_hours,n_periods,integral,pop_hours_supply_lost,storm,duration_days,year,month,event_id
2017-09-01 06:00:00,47161,14035,7491.0,243.208333333333,48,48,3.24669603524229,45567.3788546256,2017228N14314,2.0,2017,9,47161_2017-09-01 06:00:00
2017-09-02 00:00:00,48167,357117,66395.2153846154,243.958333333333,25,25,1.78848038774339,638696.750629758,2017228N14314,1.04166666666667,2017,9,48167_2017-09-02 00:00:00
2017-08-26 21:00:00,13299,35614,14060.0,237.833333333333,42,42,0.11835583358159,4215.12465717475,2017240N31279,1.75,2017,8,13299_2017-08-26 21:00:00
2017-09-09 19:00:00,12037,12498,9491.0,251.75,122,122,13.3911488345658,167362.578134403,2017242N16333,5.08333333333333,2017,9,12037_2017-09-09 19:00:00
2017-09-09 20:00:00,01087,18516,1812.0,251.791666666667,70,70,1.96661826325916,36413.9037625065,2017242N16333,2.91666666666667,2017,9,01087_2017-09-09 20:00:00
2017-09-09 20:00:00,12059,19651,4003.0,251.791666666667,43,43,1.54301855753869,30321.8576741929,2017242N16333,1.79166666666667,2017,9,12059_2017-09-09 20:00:00
2017-09-09 20:00:00,12067,7786,786.0,251.791666666667,191,191,89.8808888826583,699812.600840377,2017242N16333,7.95833333333333,2017,9,12067_2017-09-09 20:00:00
2017-09-09 21:00:00,12013,13464,976.0,251.833333333333,54,54,8.9500948356099,120504.076866652,2017242N16333,2.25,2017,9,12013_2017-09-09 21:00:00
2017-09-09 22:00:00,12075,45260,5563.0,251.875,190,190,64.4138282251013,2915369.86546809,2017242N16333,7.91666666666667,2017,9,12075_2017-09-09 22:00:00
2017-09-09 22:00:00,13193,11765,3712.0,251.875,118,118,32.7853128644046,385719.20584972,2017242N16333,4.91666666666667,2017,9,13193_2017-09-09 22:00:00
2017-09-09 23:00:00,13183,18348,2442.0,251.916666666667,101,101,26.4625248625249,485534.406177606,2017242N16333,4.20833333333333,2017,9,13183_2017-09-09 23:00:00
2017-09-10 00:00:00,01037,10166,4664.0,251.958333333333,37,37,0.224485420240137,2282.11878216124,2017242N16333,1.54166666666667,2017,9,01037_2017-09-10 00:00:00
2017-09-10 02:00:00,12079,18198,3749.0,252.041666666667,124,124,53.5771571473622,974997.105767696,2017242N16333,5.16666666666667,2017,9,12079_2017-09-10 02:00:00
2017-09-10 06:00:00,12011,1947026,939274.0,252.208333333333,178,178,50.9309517657027,99163887.2925691,2017242N16333,7.41666666666667,2017,9,12011_2017-09-10 06:00:00
2017-09-10 06:00:00,12086,2673837,1124137.0,252.208333333333,210,210,62.6986500102262,167645970.247393,2017242N16333,8.75,2017,9,12086_2017-09-10 06:00:00
