event_id,CountyFIPS,storm,event_start,event_end,duration_hours,max_outage,hours_above_thresh,n_ts_points,reason
54047_2021-08-19 23:00:00,54047,2021222N14301,2021-08-19 23:00:00,2021-08-21 22:00:00,47.0,0.08144339362776605,0,71,invalid_event
54063_2021-08-21 00:00:00,54063,2021222N14301,2021-08-21 00:00:00,2021-08-22 17:00:00,41.0,0.13728791607304752,0,65,invalid_event
44003_2021-08-22 17:00:00,44003,2021222N14301,2021-08-22 17:00:00,2021-08-23 21:00:00,28.0,0.16802157961814965,4,52,invalid_event
44003_2021-08-22 17:00:00,44003,2021227N36297,2021-08-22 17:00:00,2021-08-23 21:00:00,28.0,0.16802157961814965,4,52,invalid_event
51099_2021-08-27 07:00:00,51099,2021239N17281,2021-08-27 07:00:00,2021-08-29 16:00:00,57.0,0.0652903658945955,0,81,invalid_event
28123_2021-08-28 22:00:00,28123,2021239N17281,2021-08-28 22:00:00,2021-09-02 02:00:00,100.0,0.15061846511310054,1,124,invalid_event
47161_2021-08-29 14:00:00,47161,2021239N17281,2021-08-29 14:00:00,2021-08-31 16:00:00,50.0,0.12023995826812728,0,74,invalid_event
28043_2021-08-29 19:00:00,28043,2021239N17281,2021-08-29 19:00:00,2021-08-30 21:00:00,26.0,0.12083771468629513,0,50,invalid_event
28105_2021-08-29 20:00:00,28105,2021239N17281,2021-08-29 20:00:00,2021-09-02 02:00:00,78.0,0.5138981755659566,2,102,invalid_event
01023_2021-08-29 20:00:00,01023,2021239N17281,2021-08-29 20:00:00,2021-08-31 21:00:00,49.0,0.09352268791132663,0,73,invalid_event
28031_2021-08-30 07:00:00,28031,2021239N17281,2021-08-30 07:00:00,2021-09-03 23:00:00,112.0,0.21935987509758,4,136,invalid_event
28099_2021-08-30 12:00:00,28099,2021239N17281,2021-08-30 12:00:00,2021-09-02 04:00:00,64.0,0.14820359281437126,0,88,invalid_event
28079_2021-08-30 16:00:00,28079,2021239N17281,2021-08-30 16:00:00,2021-09-02 02:00:00,58.0,0.12740974412898703,0,82,invalid_event
01065_2021-08-30 22:00:00,01065,2021239N17281,2021-08-30 22:00:00,2021-09-02 01:00:00,51.0,0.14844200807847663,0,75,invalid_event
28069_2021-08-30 23:00:00,28069,2021239N17281,2021-08-30 23:00:00,2021-09-02 01:00:00,50.0,0.10462707182320442,0,74,invalid_event
13123_2021-08-30 23:00:00,13123,2021239N17281,2021-08-30 23:00:00,2021-09-02 01:00:00,50.0,0.16785774576557314,1,74,invalid_event
51091_2021-08-31 13:00:00,51091,2021239N17281,2021-08-31 13:00:00,2021-09-01 17:00:00,28.0,0.12937660119555935,0,52,invalid_event
51017_2021-08-31 14:00:00,51017,2021239N17281,2021-08-31 14:00:00,2021-09-01 17:00:00,27.0,0.16391184573002754,1,51,invalid_event
28015_2021-08-31 16:00:00,28015,2021239N17281,2021-08-31 16:00:00,2021-09-01 23:00:00,31.0,0.1704456606724003,1,55,invalid_event
37075_2021-09-01 04:00:00,37075,2021239N17281,2021-09-01 04:00:00,2021-09-03 00:00:00,44.0,0.09707658087067048,0,68,invalid_event
28051_2021-09-01 23:00:00,28051,2021239N17281,2021-09-01 23:00:00,2021-09-03 00:00:00,25.0,0.16984615384615384,2,49,invalid_event
28007_2021-09-01 23:00:00,28007,2021239N17281,2021-09-01 23:00:00,2021-09-03 01:00:00,26.0,0.2521923996811055,4,50,invalid_event
42091_2021-09-01 23:00:00,42091,2021239N17281,2021-09-01 23:00:00,2021-09-03 04:00:00,29.0,0.12273341330196699,0,53,invalid_event
28163_2021-09-02 00:00:00,28163,2021239N17281,2021-09-02 00:00:00,2021-09-03 01:00:00,25.0,0.15263157894736842,3,49,invalid_event
34019_2021-09-02 02:00:00,34019,2021239N17281,2021-09-02 02:00:00,2021-09-03 10:00:00,32.0,0.13215051988777027,0,56,invalid_event
12065_2021-09-09 07:00:00,12065,2021252N28273,2021-09-09 07:00:00,2021-09-10 08:00:00,25.0,0.22342809956352483,3,49,invalid_event
28005_2021-09-11 14:00:00,28005,2021256N21265,2021-09-11 14:00:00,2021-09-12 16:00:00,26.0,0.09093182197032838,0,50,invalid_event
22081_2021-09-12 19:00:00,22081,2021256N21265,2021-09-12 19:00:00,2021-09-13 19:00:00,24.0,0.10056963268513062,0,48,invalid_event
22077_2021-09-16 00:00:00,22077,2021256N21265,2021-09-16 00:00:00,2021-09-18 01:00:00,49.0,0.15733647613435475,1,73,invalid_event
12109_2022-09-29 08:00:00,12109,2022263N10313,2022-09-29 08:00:00,2022-09-30 22:00:00,38.0,0.14669185153968875,0,62,invalid_event
51073_2022-09-29 15:00:00,51073,2022263N10313,2022-09-29 15:00:00,2022-10-01 14:00:00,47.0,0.19336801672582293,1,71,invalid_event
45025_2022-09-29 20:00:00,45025,2022263N10313,2022-09-29 20:00:00,2022-10-01 15:00:00,43.0,0.1671743146751885,1,67,invalid_event
51147_2022-09-29 21:00:00,51147,2022263N10313,2022-09-29 21:00:00,2022-10-01 15:00:00,42.0,0.16656487217520285,2,66,invalid_event
37017_2022-09-30 16:00:00,37017,2022263N10313,2022-09-30 16:00:00,2022-10-01 19:00:00,27.0,0.13324621485219898,0,51,invalid_event
37165_2022-09-30 21:00:00,37165,2022263N10313,2022-09-30 21:00:00,2022-10-02 16:00:00,43.0,0.14989776492984558,0,67,invalid_event
37085_2022-09-30 21:00:00,37085,2022263N10313,2022-09-30 21:00:00,2022-10-01 21:00:00,24.0,0.1459374904149925,0,48,invalid_event
37105_2022-09-30 22:00:00,37105,2022263N10313,2022-09-30 22:00:00,2022-10-01 22:00:00,24.0,0.14772348695169352,0,48,invalid_event
37019_2022-09-30 22:00:00,37019,2022263N10313,2022-09-30 22:00:00,2022-10-02 12:00:00,38.0,0.18057102133535255,1,62,invalid_event
37151_2022-09-30 22:00:00,37151,2022263N10313,2022-09-30 22:00:00,2022-10-01 22:00:00,24.0,0.148543663039359,0,48,invalid_event
