event_id,CountyFIPS,storm,event_start,event_end,duration_hours,max_outage,hours_above_thresh,n_ts_points,reason
21101_2018-05-30 15:00:00,21101,2018146N19273,2018-05-30 15:00:00,2018-05-31 23:00:00,32.0,0.2571502190157176,3,56,invalid_event
01059_2018-05-30 23:00:00,01059,2018146N19273,2018-05-30 23:00:00,2018-06-01 15:00:00,40.0,0.07808564231738035,0,64,invalid_event
47053_2018-05-31 07:00:00,47053,2018146N19273,2018-05-31 07:00:00,2018-06-01 08:00:00,25.0,0.2848234939153173,1,49,invalid_event
18079_2018-05-31 20:00:00,18079,2018146N19273,2018-05-31 20:00:00,2018-06-02 20:00:00,48.0,0.2384536685179772,4,72,invalid_event
17151_2018-06-01 18:00:00,17151,2018146N19273,2018-06-01 18:00:00,2018-06-04 00:00:00,54.0,1.0,2,78,invalid_event
47023_2018-06-01 23:00:00,47023,2018146N19273,2018-06-01 23:00:00,2018-06-03 13:00:00,38.0,0.2070619006102877,1,62,invalid_event
12063_2018-06-02 20:00:00,12063,2018146N19273,2018-06-02 20:00:00,2018-06-04 00:00:00,28.0,0.05356017643352237,0,52,invalid_event
37177_2018-09-13 18:00:00,37177,2018242N13343,2018-09-13 18:00:00,2018-09-14 18:00:00,24.0,0.07432432432432433,0,48,invalid_event
37187_2018-09-14 02:00:00,37187,2018242N13343,2018-09-14 02:00:00,2018-09-15 02:00:00,24.0,0.21256440086421804,1,48,invalid_event
37183_2018-09-14 17:00:00,37183,2018242N13343,2018-09-14 17:00:00,2018-09-15 18:00:00,25.0,0.15847083390387512,1,49,invalid_event
37167_2018-09-15 00:00:00,37167,2018242N13343,2018-09-15 00:00:00,2018-09-16 11:00:00,35.0,0.12378584643848288,0,59,invalid_event
37179_2018-09-15 01:00:00,37179,2018242N13343,2018-09-15 01:00:00,2018-09-16 22:00:00,45.0,0.08630447510245748,0,69,invalid_event
45057_2018-09-15 14:00:00,45057,2018242N13343,2018-09-15 14:00:00,2018-09-17 01:00:00,35.0,0.16764009868586677,2,59,invalid_event
39163_2018-09-16 01:00:00,39163,2018242N13343,2018-09-16 01:00:00,2018-09-17 17:00:00,40.0,0.06288294098677846,0,64,invalid_event
