event_id,CountyFIPS,storm,event_start,event_end,duration_hours,year,month,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,max_outage_raw,hours_above_thresh_raw,is_valid,peak_outage_clean,threshold_used_t90,t90_lastcross,censored_lastcross,crossing_time_lastcross,duration_days
22081_2017-08-30 23:00:00,22081,2017228N14314,2017-08-30 23:00:00,2017-08-31 23:00:00,24.0,2017,8,7420,3236.0,241.916666666667,24,5.85012360939431,43407.9171817058,0.2994437577255871,19,True,0.2994437577255871,0.1,23.444050632911388,0,2017-08-31 22:26:38.582278481,1.0
28053_2017-09-01 00:00:00,28053,2017228N14314,2017-09-01 00:00:00,2017-09-02 00:00:00,24.0,2017,8,7333,2644.0,242.958333333333,24,2.49697428139183,18310.3124054463,0.3812405446293495,5,True,0.22692889561270801,0.1,16.220143884891943,0,2017-09-01 16:13:12.517985611,1.0
47161_2017-09-01 06:00:00,47161,2017228N14314,2017-09-01 06:00:00,2017-09-03 06:00:00,48.0,2017,9,14035,7491.0,243.208333333333,48,3.24669603524229,45567.3788546256,0.35042050460552665,10,True,0.31624616206114003,0.1,46.09169859514667,0,2017-09-03 04:05:30.114942528,2.0
12037_2017-09-09 19:00:00,12037,2017242N16333,2017-09-09 19:00:00,2017-09-14 21:00:00,122.0,2017,9,12498,9491.0,251.75,122,13.3911488345658,167362.578134403,0.1932163513381041,73,True,0.19262817370845994,0.1,120.81230949589667,0,2017-09-14 19:48:44.314185228,5.08333333333333
12067_2017-09-09 20:00:00,12067,2017242N16333,2017-09-09 20:00:00,2017-09-17 19:00:00,191.0,2017,9,7786,786.0,251.791666666667,191,89.8808888826583,699812.600840377,1.0,158,True,0.9625681705503223,0.1,186.8025644925564,0,2017-09-17 14:48:09.232173203,7.95833333333333
12013_2017-09-09 21:00:00,12013,2017242N16333,2017-09-09 21:00:00,2017-09-12 03:00:00,54.0,2017,9,13464,976.0,251.833333333333,54,8.9500948356099,120504.076866652,1.0,14,True,0.5524889107934944,0.1,53.30243902439,0,2017-09-12 02:18:08.780487804,2.25
12075_2017-09-09 22:00:00,12075,2017242N16333,2017-09-09 22:00:00,2017-09-17 20:00:00,190.0,2017,9,45260,5563.0,251.875,190,64.4138282251013,2915369.86546809,0.8835171631790537,123,True,0.8714050097928049,0.1,170.764203411355,0,2017-09-17 00:45:51.132280878,7.91666666666667
13193_2017-09-09 22:00:00,13193,2017242N16333,2017-09-09 22:00:00,2017-09-14 20:00:00,118.0,2017,9,11765,3712.0,251.875,118,32.7853128644046,385719.20584972,0.9120377911712005,48,True,0.9119373776908023,0.1,98.42399999999972,0,2017-09-14 00:25:26.399999999,4.91666666666667
13183_2017-09-09 23:00:00,13183,2017242N16333,2017-09-09 23:00:00,2017-09-14 04:00:00,101.0,2017,9,18348,2442.0,251.916666666667,101,26.4625248625249,485534.406177606,0.7771428571428571,57,True,0.7436527436527437,0.1,96.19999999999972,0,2017-09-13 23:11:59.999999999,4.20833333333333
12079_2017-09-10 02:00:00,12079,2017242N16333,2017-09-10 02:00:00,2017-09-15 06:00:00,124.0,2017,9,18198,3749.0,252.041666666667,124,53.5771571473622,974997.105767696,1.0,94,True,0.8350259291270528,0.1,119.83281313067306,0,2017-09-15 01:49:58.127270423,5.16666666666667
