event_start,CountyFIPS,county_pop,pre_outage_tracked_customers,days_since_data_start,duration_hours,n_periods,integral,pop_hours_supply_lost,storm,duration_days,year,month
2017-07-30 21:00:00,12075,45260,2942.7,210.833333333333,86,86,4.00755020910171,181381.722463943,2017212N28275,3.58333333333333,2017,7
2017-09-09 19:00:00,12037,12498,9491.0,251.75,122,122,13.3911488345658,167362.578134403,2017242N16333,5.08333333333333,2017,9
2017-09-09 20:00:00,12059,19651,4003.0,251.791666666667,43,43,1.54301855753869,30321.8576741929,2017242N16333,1.79166666666667,2017,9
2017-09-09 20:00:00,12067,7786,786.0,251.791666666667,191,191,89.8808888826583,699812.600840377,2017242N16333,7.95833333333333,2017,9
2017-09-09 21:00:00,12013,13464,976.0,251.833333333333,54,54,8.9500948356099,120504.076866652,2017242N16333,2.25,2017,9
2017-09-09 22:00:00,12075,45260,5563.0,251.875,190,190,64.4138282251013,2915369.86546809,2017242N16333,7.91666666666667,2017,9
2017-09-10 02:00:00,12079,18198,3749.0,252.041666666667,124,124,53.5771571473622,974997.105767696,2017242N16333,5.16666666666667,2017,9
2017-09-10 06:00:00,12011,1947026,939274.0,252.208333333333,178,178,50.9309517657027,99163887.2925691,2017242N16333,7.41666666666667,2017,9
2017-09-10 06:00:00,12086,2673837,1124137.0,252.208333333333,210,210,62.6986500102262,167645970.247393,2017242N16333,8.75,2017,9
2017-09-10 11:00:00,12125,15460,5345.0,252.416666666667,133,133,54.993459561233,850198.884816662,2017242N16333,5.54166666666667,2017,9
2017-09-10 14:00:00,12021,397994,212167.0,252.541666666667,263,263,118.692897564778,47239061.0733962,2017242N16333,10.9583333333333,2017,9
2017-09-10 14:00:00,12099,1518477,742679.0,252.541666666667,147,147,48.3090383845822,73356163.6791051,2017242N16333,6.125,2017,9
2017-09-10 14:00:00,12111,358704,127029.0,252.541666666667,131,131,39.8613853891109,14298438.3846156,2017242N16333,5.45833333333333,2017,9
2017-09-10 16:00:00,12051,41339,9738.0,252.625,300,300,135.441962739839,5599035.2977022,2017242N16333,12.5,2017,9
2017-09-10 16:00:00,12093,40412,20093.0,252.625,175,175,79.3521562543671,3206779.33855148,2017242N16333,7.29166666666667,2017,9
2017-09-10 16:00:00,12133,25414,6511.0,252.625,30,30,1.83348350978775,46596.1499177459,2017242N16333,1.25,2017,9
2017-09-10 18:00:00,12107,74731,20133.0,252.708333333333,207,207,79.228861602759,5920852.05643578,2017242N16333,8.625,2017,9
2017-09-10 18:00:00,12129,35178,15461.0,252.708333333333,107,107,23.0348909932965,810321.395362186,2017242N16333,4.45833333333333,2017,9
2017-09-10 19:00:00,12041,18992,4797.0,252.75,173,173,64.3622175053202,1222367.23486104,2017242N16333,7.20833333333333,2017,9
2017-09-10 21:00:00,12049,25645,2812.0,252.833333333333,175,175,87.4002236755517,2241378.73615952,2017242N16333,7.29166666666667,2017,9
2017-09-10 22:00:00,12029,17124,1806.0,252.875,167,167,73.5574367956428,1259597.54768859,2017242N16333,6.95833333333333,2017,9
2017-09-10 22:00:00,12055,105618,54806.0,252.875,219,219,142.440173938316,15044246.291017,2017242N16333,9.125,2017,9
2017-09-10 23:00:00,12105,787404,106169.0,252.916666666667,192,192,43.4272046678154,34194754.6642565,2017242N16333,8.0,2017,9
2017-09-11 00:00:00,12015,202661,114552.0,252.958333333333,188,188,47.885063010151,9704434.75470022,2017242N16333,7.83333333333333,2017,9
2017-09-11 00:00:00,12035,126705,58355.0,252.958333333333,190,190,67.5772757488715,8562378.72376077,2017242N16333,7.91666666666667,2017,9
2017-09-11 00:00:00,12071,822453,260826.0,252.958333333333,240,240,97.1921323929368,79935960.862968,2017242N16333,10.0,2017,9
