epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.15715470910072327,,,,,
0,19,,0.1265222728252411,,,,,
0,29,,0.11752106249332428,,,,,
0,39,,0.09880487620830536,,,,,
0,49,,0.09116876125335693,,,,,
0,59,,0.09857172518968582,,,,,
0,69,,0.08631691336631775,,,,,
0,71,,,0.15918251872062683,899513.75,0.2075672745704651,0.8219892978668213,0.11200027912855148
0,71,0.11753395199775696,,,,,,
1,79,,0.07674017548561096,,,,,
1,89,,0.07907639443874359,,,,,
1,99,,0.059704557061195374,,,,,
1,109,,0.05471032112836838,,,,,
1,119,,0.06234949082136154,,,,,
1,129,,0.05553063377737999,,,,,
1,139,,0.0529962033033371,,,,,
1,143,,,0.21734978258609772,1173289.125,0.27648526430130005,0.9061262011528015,0.16114434599876404
1,143,0.0632845014333725,,,,,,
2,149,,0.04763888940215111,,,,,
2,159,,0.049175944179296494,,,,,
2,169,,0.05000465363264084,,,,,
2,179,,0.04907980188727379,,,,,
2,189,,0.04500275105237961,,,,,
2,199,,0.04319896176457405,,,,,
2,209,,0.0378660149872303,,,,,
2,215,,,0.2071276158094406,912828.0625,0.2578868567943573,0.9608284831047058,0.1609816700220108
2,215,0.04608236253261566,,,,,,
3,219,,0.04156797379255295,,,,,
3,229,,0.04628376662731171,,,,,
3,239,,0.04225622117519379,,,,,
3,249,,0.03583977743983269,,,,,
3,259,,0.04918737709522247,,,,,
3,269,,0.03530066832900047,,,,,
3,279,,0.03816831484436989,,,,,
3,287,,,0.24002379179000854,1239353.75,0.28638193011283875,1.002137541770935,0.18942326307296753
3,287,0.04026162624359131,,,,,,
4,289,,0.03388450667262077,,,,,
4,299,,0.042146146297454834,,,,,
4,309,,0.036322642117738724,,,,,
4,319,,0.03668847307562828,,,,,
4,329,,0.035802338272333145,,,,,
4,339,,0.033583130687475204,,,,,
4,349,,0.03766687214374542,,,,,
4,359,,0.041935015469789505,,,,,
4,359,,,0.2432432919740677,1309888.125,0.28970271348953247,1.0160092115402222,0.1925538182258606
4,359,0.036643221974372864,,,,,,
5,369,,0.04048846289515495,,,,,
5,379,,0.03587915748357773,,,,,
5,389,,0.029347531497478485,,,,,
5,399,,0.030228830873966217,,,,,
5,409,,0.03367472440004349,,,,,
5,419,,0.0362071767449379,,,,,
5,429,,0.032007891684770584,,,,,
5,431,,,0.23347705602645874,1232037.0,0.2885324954986572,0.9787678122520447,0.18769599497318268
5,431,0.033542223274707794,,,,,,
6,439,,0.02728976681828499,,,,,
6,449,,0.03040524572134018,,,,,
6,459,,0.03603559359908104,,,,,
6,469,,0.03050919622182846,,,,,
6,479,,0.031074434518814087,,,,,
6,489,,0.031910013407468796,,,,,
6,499,,0.028354933485388756,,,,,
6,503,,,0.23132695257663727,1281614.875,0.2842084765434265,0.9782297611236572,0.18781013786792755
6,503,0.031610164791345596,,,,,,
7,509,,0.028441915288567543,,,,,
7,519,,0.031807854771614075,,,,,
7,529,,0.02916627749800682,,,,,
7,539,,0.02901645563542843,,,,,
7,549,,0.0295519158244133,,,,,
7,559,,0.03517527878284454,,,,,
7,569,,0.026796825230121613,,,,,
7,575,,,0.23453985154628754,1261558.125,0.28675946593284607,0.9835128784179688,0.19270749390125275
7,575,0.030312640592455864,,,,,,
8,579,,0.0298784002661705,,,,,
8,589,,0.028526054695248604,,,,,
8,599,,0.029357025399804115,,,,,
8,609,,0.02959238551557064,,,,,
8,619,,0.029923204332590103,,,,,
8,629,,0.031126178801059723,,,,,
8,639,,0.028592130169272423,,,,,
8,647,,,0.21316973865032196,1196357.125,0.26728159189224243,0.938023030757904,0.17460572719573975
8,647,0.029774626716971397,,,,,,
9,649,,0.03397069498896599,,,,,
9,659,,0.0315009206533432,,,,,
9,669,,0.031956471502780914,,,,,
9,679,,0.025003137066960335,,,,,
9,689,,0.027253661304712296,,,,,
9,699,,0.02630321867763996,,,,,
9,709,,0.032556310296058655,,,,,
9,719,,0.03157807141542435,,,,,
9,719,,,0.2108956128358841,1216282.375,0.2660726308822632,0.9263741374015808,0.17536352574825287
9,719,0.029012974351644516,,,,,,
10,729,,0.025934921577572823,,,,,
10,739,,0.03035479038953781,,,,,
10,749,,0.03198070824146271,,,,,
10,759,,0.03315502405166626,,,,,
10,769,,0.02712005376815796,,,,,
10,779,,0.02706892229616642,,,,,
10,789,,0.03095647692680359,,,,,
10,791,,,0.20576296746730804,1160785.25,0.26154595613479614,0.9158305525779724,0.171137273311615
10,791,0.028694109991192818,,,,,,
11,799,,0.025274911895394325,,,,,
11,809,,0.02706613577902317,,,,,
11,819,,0.02947939746081829,,,,,
11,829,,0.025186173617839813,,,,,
11,839,,0.026398949325084686,,,,,
11,849,,0.025425191968679428,,,,,
11,859,,0.02666713483631611,,,,,
11,863,,,0.20950357615947723,1179518.375,0.2659141421318054,0.9244837760925293,0.17431633174419403
11,863,0.027847660705447197,,,,,,
12,869,,0.027060402557253838,,,,,
12,879,,0.025073282420635223,,,,,
12,889,,0.027604609727859497,,,,,
12,899,,0.03405793383717537,,,,,
12,909,,0.02769879624247551,,,,,
12,919,,0.025473488494753838,,,,,
12,929,,0.025496847927570343,,,,,
12,935,,,0.20629875361919403,1177462.5,0.26191067695617676,0.9182369709014893,0.17467422783374786
12,935,0.0275836531072855,,,,,,
13,939,,0.026998592540621758,,,,,
13,949,,0.02329704910516739,,,,,
13,959,,0.03098667599260807,,,,,
13,969,,0.025113437324762344,,,,,
13,979,,0.028709007427096367,,,,,
13,989,,0.028569962829351425,,,,,
13,999,,0.021660082042217255,,,,,
13,1007,,,0.2050309032201767,1174033.875,0.26039114594459534,0.9171750545501709,0.1736789494752884
13,1007,0.02708347514271736,,,,,,
14,1009,,0.028223922476172447,,,,,
14,1019,,0.02898295409977436,,,,,
14,1029,,0.028697285801172256,,,,,
14,1039,,0.029020389541983604,,,,,
14,1049,,0.02634960599243641,,,,,
14,1059,,0.024523727595806122,,,,,
14,1069,,0.02487533912062645,,,,,
14,1079,,0.028220120817422867,,,,,
14,1079,,,0.2048095464706421,1165653.375,0.25962838530540466,0.9182880520820618,0.17331968247890472
14,1079,0.026690680533647537,,,,,,
15,1089,,0.02151082269847393,,,,,
15,1099,,0.025819135829806328,,,,,
15,1109,,0.024951182305812836,,,,,
15,1119,,0.024558881297707558,,,,,
15,1129,,0.026881296187639236,,,,,
15,1139,,0.025474872440099716,,,,,
15,1149,,0.023938238620758057,,,,,
15,1151,,,0.20459596812725067,1160823.125,0.25914496183395386,0.9190722107887268,0.1742323637008667
15,1151,0.026239197701215744,,,,,,
16,1159,,0.03285342454910278,,,,,
16,1169,,0.02323281206190586,,,,,
16,1179,,0.030179738998413086,,,,,
16,1189,,0.025560619309544563,,,,,
16,1199,,0.03163796663284302,,,,,
16,1209,,0.02320384606719017,,,,,
