"event_start","CountyFIPS","county_pop","pre_outage_tracked_customers","days_since_data_start","duration_hours","n_periods","integral","pop_hours_supply_lost","storm","duration_days","year","month"
2017-06-21 16:00:00,"54001",15414,6599,171.625,47,47,0.38930140930444,6000.69192301864,"2017171N24271",1.95833333333333,"2017","06"
2017-06-24 04:00:00,"54059",22573,13970,174.125,62,62,4.77878915456688,107871.607586038,"2017171N24271",2.58333333333333,"2017","06"
2017-07-30 21:00:00,"12075",45260,2942.7,210.833333333333,86,86,4.00755020910171,181381.722463943,"2017212N28275",3.58333333333333,"2017","07"
2017-08-24 22:00:00,"21055",8981,3092,235.875,52,52,0.500270916654669,4492.93310247559,"2017228N14314",2.16666666666667,"2017","08"
2017-08-25 21:00:00,"48355",351674,143346,236.833333333333,241,241,59.3811952795346,20882822.468735,"2017228N14314",10.0416666666667,"2017","08"
2017-08-25 22:00:00,"48391",6632,4527,236.875,409,409,253.371423550923,1680359.28098972,"2017228N14314",17.0416666666667,"2017","08"
2017-08-25 22:00:00,"48409",69954,30060,236.875,291,291,112.724403564193,7885522.92692956,"2017228N14314",12.125,"2017","08"
2017-08-26 00:00:00,"48239",15142,4458,236.958333333333,172,172,94.3516086477872,1428672.05814479,"2017228N14314",7.16666666666667,"2017","08"
2017-08-26 00:00:00,"48321",36125,15562,236.958333333333,168,168,39.9672009706017,1443815.13506299,"2017228N14314",7,"2017","08"
2017-08-26 01:00:00,"48007",24944,19431,237,451,451,325.38767319175,8116470.120095,"2017228N14314",18.7916666666667,"2017","08"
2017-08-26 01:00:00,"48175",7131,2933,237,330,330,111.260386574965,793397.816666073,"2017228N14314",13.75,"2017","08"
2017-08-26 03:00:00,"48167",357117,66317,237.083333333333,97,97,4.19982809837598,1499830.01100774,"2017228N14314",4.04166666666667,"2017","08"
2017-08-26 03:00:00,"48057",19706,7499,237.083333333333,271,271,173.098546472863,3411079.95679424,"2017228N14314",11.2916666666667,"2017","08"
2017-08-26 06:00:00,"48025",30394,8880,237.208333333333,114,114,36.1777192679203,1099585.59942917,"2017228N14314",4.75,"2017","08"
2017-08-26 07:00:00,"48469",91065,30106,237.25,302,302,109.140866431263,9938913.00156295,"2017228N14314",12.5833333333333,"2017","08"
2017-08-26 09:00:00,"48473",61894,8829,237.333333333333,67,67,3.00017811721859,185693.024387127,"2017228N14314",2.79166666666667,"2017","08"
2017-08-26 11:00:00,"48481",41824,17297,237.416666666667,34,34,0.498121061455744,20833.415274325,"2017228N14314",1.41666666666667,"2017","08"
