GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "35011","De Baca, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",62712,65298,59363,59859,61860,81217,59751,59961,53382,55806,69656,67914,59217,68433,74240,88415,75427,79305,77336,79577,76105,71320,87533,84507
 "35011","De Baca, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.143,86.571,78.702,79.360,82.013,107.676,79.217,79.495,70.772,73.987,92.348,90.039,78.509,90.728,98.427,117.219,100.000,105.142,102.531,105.502,100.899,94.555,116.049,112.039
 "35011","De Baca, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46931,48624,46648,50651,50750,67788,54211,55367,47729,51517,70457,70364,64357,73619,75238,84394,75427,79154,78141,81028,90223,98048,116352,110871
 "35013","Doña Ana, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5252277,5479122,5932855,6416076,6918771,6939756,6992506,6999287,7303079,7656106,7346256,6939610,6906915,6980723,7058840,7220206,7305489,7447694,7736864,7489115,8023171,8190741,8681273,8900673
 "35013","Doña Ana, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.895,75.000,81.211,87.825,94.706,94.994,95.716,95.809,99.967,104.799,100.558,94.992,94.544,95.554,96.624,98.833,100.000,101.947,105.905,102.514,109.824,112.118,118.832,121.835
 "35013","Doña Ana, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3859157,4109326,4542847,5033775,5498162,5634617,5878956,5984621,6339660,6735912,6624347,6378111,6473609,6667798,6866425,7095984,7305489,7605805,8073556,8021143,8953613,9699070,10759585,11315252
 "35015","Eddy, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2907329,3240891,2980791,2776229,2621537,2710426,2898151,2897233,3332775,3457729,3700129,4253026,4474186,4973911,5473103,5225383,5386793,6064368,7331074,6951518,6608414,6495257,8710992,9816999
 "35015","Eddy, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",53.971,60.164,55.335,51.538,48.666,50.316,53.801,53.784,61.869,64.189,68.689,78.953,83.058,92.335,101.602,97.004,100.000,112.578,136.093,129.047,122.678,120.577,161.710,182.242
 "35015","Eddy, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2129263,2208288,2458043,2543142,2850634,3056220,3435340,4022129,3483868,4136569,4821155,5209630,5632500,6198806,5329720,4728170,5386793,6534467,7354740,5932632,7854529,10437590,10396803,11319034
 "35017","Grant, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",907383,837480,831590,899453,978345,1032120,1014540,1085712,886236,877177,1017264,1106303,1215517,1220912,1188313,1134192,1173074,1119064,1096801,1000405,1139503,1133173,1140920,1015892
 "35017","Grant, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.351,71.392,70.890,76.675,83.400,87.984,86.486,92.553,75.548,74.776,86.718,94.308,103.618,104.078,101.299,96.685,100.000,95.396,93.498,85.281,97.138,96.599,97.259,86.601
 "35017","Grant, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",564396,537770,548612,626744,734814,832451,861366,977065,829586,845956,1020128,1115389,1191789,1191840,1130626,1074508,1173074,1149737,1143874,1063805,1326910,1455525,1525697,1406918
 "35019","Guadalupe, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",111171,110010,110979,113954,110727,123235,121692,120135,113435,125327,130358,130027,135848,141660,146596,153314,138094,149597,149316,148381,161946,176334,212413,216068
 "35019","Guadalupe, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.503,79.663,80.365,82.519,80.182,89.240,88.123,86.995,82.143,90.755,94.398,94.158,98.373,102.582,106.156,111.021,100.000,108.330,108.126,107.449,117.272,127.691,153.817,156.464
 "35019","Guadalupe, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",76439,77190,80100,85840,84936,98323,101265,102639,99774,110969,119489,121970,131550,139393,144394,150173,138094,152932,156632,159208,185472,219381,270872,277764
 "35021","Harding, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",72745,69796,64378,57068,64389,60055,53550,52682,94146,84067,74760,64129,61493,73212,70564,65971,47665,43679,39215,46365,43112,42887,41175,36926
 "35021","Harding, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",152.619,146.430,135.065,119.727,135.087,125.994,112.348,110.526,197.517,176.371,156.846,134.542,129.012,153.597,148.043,138.407,100.000,91.638,82.272,97.273,90.448,89.976,86.384,77.471
