GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56013","Fremont, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1296170,1379962,1348290,1476070,1636363,1790695,1797822,1762620,1880054,1797246,1806236,1727632,1802440,1779493,1790361,1714254,1729469,1707182,1605088,1560083,1523613,1558987,1619691,1655777
 "56013","Fremont, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.946,79.791,77.960,85.348,94.617,103.540,103.952,101.917,108.707,103.919,104.439,99.894,104.219,102.892,103.521,99.120,100.000,98.711,92.808,90.206,88.097,90.143,93.652,95.739
 "56013","Fremont, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",883291,935817,1003323,1176950,1477358,1666277,1745252,1911409,1705094,1760193,1857651,1755643,1890043,1883811,1722594,1632425,1729469,1776873,1658944,1597829,1754979,2016794,2048514,2121494
 "56015","Goshen, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",454827,441527,399985,401806,397726,404378,373640,456422,404420,468981,500077,506118,538057,526324,573579,561185,494990,505645,484231,455541,467560,436588,499244,454738
 "56015","Goshen, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.886,89.199,80.807,81.175,80.350,81.694,75.484,92.208,81.703,94.746,101.028,102.248,108.701,106.330,115.877,113.373,100.000,102.153,97.826,92.030,94.459,88.201,100.859,91.868
 "56015","Goshen, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",331704,321035,302683,321462,314678,326937,318635,397478,352740,418591,478802,497709,551787,538227,569584,543447,494990,512767,501803,483453,531595,545204,637975,591725
 "56017","Hot Springs, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",154493,152877,148107,152424,164985,187326,192034,206455,224640,225153,246668,213494,252189,265601,304289,258405,220207,236230,218545,279513,272820,268359,244740,246817
 "56017","Hot Springs, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.158,69.424,67.258,69.218,74.923,85.068,87.206,93.755,102.013,102.246,112.016,96.951,114.523,120.614,138.183,117.346,100.000,107.276,99.245,126.932,123.892,121.866,111.141,112.084
 "56017","Hot Springs, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",116344,112668,122174,135063,161939,189567,203794,251383,209446,234600,279586,235118,283357,297264,300383,242884,220207,247153,224628,280203,304920,340632,295902,301211
 "56019","Johnson, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",187992,213578,215058,226315,296742,477840,605185,816099,981259,740002,589538,463168,458960,504398,452086,402339,403444,389906,387641,398972,404965,411865,439637,450910
 "56019","Johnson, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",46.597,52.939,53.306,56.096,73.552,118.440,150.005,202.283,243.221,183.422,146.126,114.804,113.761,125.023,112.057,99.726,100.000,96.644,96.083,98.892,100.377,102.087,108.971,111.765
 "56019","Johnson, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",166829,191312,205522,229871,340643,564766,758923,1296717,900027,852101,755754,545665,564695,617235,429103,371179,403444,413477,399706,396144,457062,540558,541777,562223
 "56021","Laramie, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3767353,3911168,4121899,4333028,4419244,4653303,5191552,5696774,4920896,4985519,5176171,5312068,5246707,5331669,5507020,5376004,5428708,5727043,5990637,5685494,6011479,6047556,6272579,6649763
 "56021","Laramie, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.397,72.046,75.928,79.817,81.405,85.717,95.631,104.938,90.646,91.836,95.348,97.851,96.647,98.212,101.443,99.029,100.000,105.496,110.351,104.730,110.735,111.400,115.545,122.493
 "56021","Laramie, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2614077,2770099,3009902,3277062,3523201,3876600,4501514,4966092,4211860,4379128,4774842,5031810,5015224,5179162,5385333,5244613,5428708,5946970,6207893,5844898,6752828,7750286,8038429,8439115
 "56023","Lincoln, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",666068,712004,747672,733397,742337,823047,960680,897413,890450,792110,783469,732145,724313,725439,798111,837873,819197,806837,839058,853453,847500,904459,934339,979478
 "56023","Lincoln, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.307,86.915,91.269,89.526,90.618,100.470,117.271,109.548,108.698,96.693,95.639,89.374,88.417,88.555,97.426,102.280,100.000,98.491,102.424,104.182,103.455,110.408,114.056,119.566
 "56023","Lincoln, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",446864,468899,549385,584921,671796,777055,947607,990750,816867,785100,814467,745213,753909,767766,767452,795345,819197,841999,870455,863010,979971,1186289,1209372,1288203
 "56025","Natrona, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3304149,3384190,3488242,3737063,4037786,4597319,4701106,4840101,4503209,4745496,5031497,5665392,5901150,6388489,6263754,5663254,5594566,5920361,5705706,4959651,4853152,5076888,5222789,5299993
 "56025","Natrona, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.060,60.491,62.351,66.798,72.173,82.175,84.030,86.514,80.493,84.823,89.935,101.266,105.480,114.191,111.961,101.228,100.000,105.823,101.987,88.651,86.748,90.747,93.355,94.735
 "56025","Natrona, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2274342,2348173,2513791,2800541,3235630,3856871,4086828,4388313,3937002,4255864,4654200,5342264,5670290,6242601,6043363,5513028,5594566,6088936,5982002,5181077,5465547,6372569,6706830,6881718
 "56027","Niobrara, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",77432,78204,79643,93460,111748,108245,86517,85441,96417,95802,115830,95262,119400,141210,139484,140948,119805,126763,117410,128493,120702,104422,121265,132145
 "56027","Niobrara, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.632,65.276,66.477,78.010,93.275,90.351,72.215,71.317,80.478,79.965,96.682,79.514,99.662,117.867,116.425,117.647,100.000,105.808,98.000,107.252,100.749,87.159,101.219,110.300
 "56027","Niobrara, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",61822,62650,67451,84952,101277,99787,85688,92594,91159,96663,125028,101785,133157,156502,136910,132719,119805,131085,119863,128836,140609,139858,153363,166376
 "56029","Park, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1070316,1119896,1135597,1174415,1171408,1282038,1370060,1395526,1507736,1448594,1504914,1510206,1508148,1510161,1587959,1529716,1480255,1497680,1526472,1375306,1417315,1511397,1627756,1703610
 "56029","Park, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.306,75.656,76.716,79.339,79.136,86.609,92.556,94.276,101.856,97.861,101.666,102.023,101.884,102.020,107.276,103.341,100.000,101.177,103.122,92.910,95.748,102.104,109.965,115.089
 "56029","Park, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",764595,802975,865152,938472,1006674,1142117,1271504,1408373,1331181,1352466,1462112,1458302,1497997,1521394,1529971,1477865,1480255,1551873,1584998,1417290,1590467,1897442,2034347,2174113
 "56031","Platte, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",445594,420208,454893,496094,476745,485763,461445,528854,518372,602562,624786,572731,589474,576273,613652,622598,608927,619346,587333,550874,524050,501889,542235,503372
