GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09011","New London, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.101,86.170,90.405,100.798,103.947,109.376,117.166,109.409,95.584,95.085,94.326,93.616,96.398,90.987,94.009,94.584,100.000,101.614,102.762,96.600,100.193,103.055,105.092,(NA)
 "09011","New London, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",11025757,11780013,12672303,14468807,15389769,16788919,18384069,17648199,16003319,15987547,16077368,16162206,16975325,16438958,17324858,17602766,18942592,19652147,20273766,19417509,20943584,22722325,24112269,(NA)
 "09013","Tolland, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4789260,4788099,4859847,4994986,5089992,5144621,5401201,5478209,5324025,5400720,5330544,5253759,5142149,5178641,5148258,5119458,5337593,5404431,5485930,5180731,5287843,5369121,5564826,(NA)
 "09013","Tolland, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.727,89.705,91.049,93.581,95.361,96.385,101.192,102.634,99.746,101.183,99.868,98.429,96.338,97.022,96.453,95.913,100.000,101.252,102.779,97.061,99.068,100.591,104.257,(NA)
 "09013","Tolland, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3346335,3432831,3546735,3743602,3931584,4108571,4438084,4588493,4584102,4672199,4673190,4709954,4714095,4847295,4959975,5036664,5337593,5522989,5746337,5616730,5927466,6333767,6916101,(NA)
 "09015","Windham, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4126449,4445885,4430320,4502051,4738524,5077038,4701782,4456023,4275111,4523414,4652531,4547479,4679552,4552621,4690400,4685430,4710856,4713386,4902022,4732433,4736197,4904983,5088568,(NA)
 "09015","Windham, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.594,94.375,94.045,95.568,100.587,107.773,99.807,94.591,90.750,96.021,98.762,96.532,99.335,96.641,99.566,99.460,100.000,100.054,104.058,100.458,100.538,104.121,108.018,(NA)
 "09015","Windham, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3022467,3322273,3358657,3482848,3765448,4177351,3957590,3832469,3836124,4046340,4202783,4175451,4373773,4350065,4579878,4620009,4710856,4821753,5132143,5065397,5321275,5921036,6461623,(NA)
 "09110","Capitol, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88946536
 "09110","Capitol, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NM)
 "09110","Capitol, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110914256
 "09120","Greater Bridgeport, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27209614
 "09120","Greater Bridgeport, CT*",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NM)
 "09120","Greater Bridgeport, CT*",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33929754
 "09130","Lower Connecticut River Valley, CT*",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12908053
