GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.287,69.588,70.249,71.406,74.810,76.580,79.591,80.467,78.713,79.777,81.084,82.619,86.087,90.060,94.380,96.424,100.000,104.282,109.570,108.662,116.019,120.664,125.704,128.163
 "08000","Colorado",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",185848949,189604648,195137640,203743341,220803754,232853629,248571565,257606096,249817109,256771808,266114105,274738794,291265349,309223898,320895865,330565921,350209112,373923074,397843587,396981147,445781335,499197379,533268581,557632963
 "09000","Connecticut",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",236338107,234307344,236719115,252680831,258203694,269478567,278485379,277793163,265530775,266773408,261555788,263649924,258910988,260605767,268869760,268196181,273875070,274582807,275225375,261737103,270779798,279348464,283228456,286160067
 "09000","Connecticut",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.294,85.553,86.433,92.261,94.278,98.395,101.683,101.431,96.953,97.407,95.502,96.266,94.536,95.155,98.172,97.926,100.000,100.258,100.493,95.568,98.870,101.999,103.415,104.486
 "09000","Connecticut",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171124406,172929671,177814821,194722852,204504613,219812193,232626817,236110736,231627966,234022164,233058736,239907503,240549194,247114675,260648526,264760380,273875070,280535397,286451880,278747886,297365952,321625224,341851820,356834930
 "10000","Delaware",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",65724791,63702543,64316787,67735474,66381193,68411829,68132404,65771321,69186157,68291851,71103481,70562372,68656786,73961749,76211173,71941407,69555627,70856435,74627793,72728770,75205533,81111785,82090935,85350534
 "10000","Delaware",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.492,91.585,92.468,97.383,95.436,98.356,97.954,94.559,99.469,98.183,102.225,101.447,98.708,106.335,109.569,103.430,100.000,101.870,107.292,104.562,108.123,116.614,118.022,122.708
 "10000","Delaware",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46373838,45865370,47839635,51674074,52048632,55567673,56705632,55250812,57729888,58132184,61379424,62342117,62058206,68606036,72352454,70021471,69555627,73376041,78710528,77757152,83554717,97030368,103332486,110971772
 "11000","District of Columbia",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",96185345,99014659,100969449,106547191,108884101,108848328,112287649,116213705,115645991,120393223,122636380,123567873,124094795,126883923,129110196,132217775,134298772,138056788,138909669,137828870,143338748,143050800,143179241,145087985
 "11000","District of Columbia",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.620,73.727,75.183,79.336,81.076,81.049,83.610,86.534,86.111,89.646,91.316,92.010,92.402,94.479,96.137,98.450,100.000,102.798,103.433,102.629,106.731,106.517,106.612,108.034
 "11000","District of Columbia",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",65620003,70077978,74047011,80600720,85414532,88350899,94013833,99240369,100430146,106128618,109953858,112512651,114832729,119998013,124753577,129933482,134298772,141240175,145071418,146854611,156581307,165106249,174250699,184297673
 "12000","Florida",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",714638009,746252840,781834214,833946815,883164468,909298863,922288301,891766851,840480647,851956408,849395301,857861342,880183486,905648485,945929031,978989749,1014866863,1050433812,1084913903,1072481562,1172655328,1245927559,1309392241,1352275106
 "12000","Florida",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.417,73.532,77.038,82.173,87.023,89.598,90.878,87.870,82.817,83.948,83.695,84.529,86.729,89.238,93.207,96.465,100.000,103.505,106.902,105.677,115.548,122.768,129.021,133.247
 "12000","Florida",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",519140736,553359870,590284751,647041811,704890327,749925034,781947333,767357775,739322391,752998398,761043106,784545944,819679764,860112628,918464307,964500842,1014866863,1072085590,1133718001,1144653243,1300807819,1473688112,1624642270,1726709901
 "13000","Georgia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",422731647,427329710,439074597,461245412,480838326,487524899,492238681,481860301,464016791,471588220,481215370,489027294,499900185,517511928,540108516,561718262,583543340,600934681,620744879,603202534,643748440,670107207,679447226,697450891
 "13000","Georgia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.442,73.230,75.243,79.042,82.400,83.546,84.353,82.575,79.517,80.815,82.464,83.803,85.666,88.684,92.557,96.260,100.000,102.980,106.375,103.369,110.317,114.834,116.435,119.520
 "13000","Georgia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",316872709,326017938,339540505,364530071,388707203,405664157,419384832,416303520,409876205,419013087,433137062,449375583,467559538,493370260,525516840,554903166,583543340,612803388,646695802,638488253,706004628,785922704,835755259,881508201
 "15000","Hawaii",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",60446448,62355155,65623658,69331961,72941857,74892933,76434095,76830203,74118521,76130166,77174209,78694016,80534850,81304891,83857638,85670434,87436367,88836402,88855240,79696785,84532035,87491233,89642216,91877966
 "15000","Hawaii",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.132,71.315,75.053,79.294,83.423,85.654,87.417,87.870,84.769,87.069,88.263,90.001,92.107,92.987,95.907,97.980,100.000,101.601,101.623,91.148,96.678,100.063,102.523,105.080
 "15000","Hawaii",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",42500165,44949540,48420729,52625652,57211844,60848040,64105957,65545497,64464347,66739274,68801107,71645635,74598524,77043033,81410232,84287219,87436367,90933522,93240199,84787994,93684205,103954470,111740242,117627408
 "16000","Idaho",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",48695420,49840510,51542561,55137063,59331913,60738580,61812075,63878180,61276051,62626418,62703983,62007288,64769794,66784897,67790538,70442505,72935116,77652137,81144257,82711640,88955152,92792481,95286478,99567334
 "16000","Idaho",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.765,68.335,70.669,75.597,81.349,83.278,84.749,87.582,84.014,85.866,85.972,85.017,88.805,91.568,92.946,96.582,100.000,106.467,111.255,113.404,121.965,127.226,130.646,136.515
 "16000","Idaho",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",37740929,38990678,40778641,44732858,48805138,51099038,53712367,56203556,54507866,56086206,57418177,57933723,61712629,64501721,66064893,69185163,72935116,79072367,84429358,88056765,99884083,112609739,120588078,129018179
 "17000","Illinois",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",688404254,692398081,703548764,726139030,741248580,759825672,769571627,759095327,740794302,755391375,772225623,790723271,795435232,811490102,825424943,826404691,832826821,851517192,858018321,810693082,857114585,872907485,884965268,899125864
 "17000","Illinois",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.659,83.138,84.477,87.190,89.004,91.235,92.405,91.147,88.949,90.702,92.723,94.945,95.510,97.438,99.111,99.229,100.000,102.244,103.025,97.342,102.916,104.813,106.260,107.961
 "17000","Illinois",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",499618408,511485870,528577023,560079755,589153665,624068061,649307385,649677276,645843239,663929015,691805460,725477984,742890876,772291744,802591985,813561586,832826821,871024222,895601838,860807807,947223924,1037735891,1100794064,1148106102
 "18000","Indiana",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",273884440,280722997,293045179,303819771,306344585,312525549,322661718,322384267,299789016,320731753,321532778,323876247,333207355,343827774,341205184,348439193,357535761,368762945,370507207,359963578,386872751,393481497,400369543,412003374
 "18000","Indiana",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.603,78.516,81.962,84.976,85.682,87.411,90.246,90.168,83.849,89.706,89.930,90.586,93.196,96.166,95.432,97.456,100.000,103.140,103.628,100.679,108.205,110.054,111.980,115.234
 "18000","Indiana",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",205325079,213419588,225349293,239278532,247428291,259030296,273340792,277774533,264925012,284685817,292373833,301277378,313466853,329360894,333163758,342716636,357535761,377376881,384838700,378292964,425270934,467679632,496849534,519516461
 "19000","Iowa",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",128077543,131035207,137476895,149063210,153626763,155704453,162838055,160469102,156737176,161593058,164559278,170923725,171069145,180309935,185989189,186729878,187124993,189245131,188471397,187261682,202470637,202672531,201359774,206438928
 "19000","Iowa",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.445,70.025,73.468,79.660,82.098,83.209,87.021,85.755,83.761,86.356,87.941,91.342,91.420,96.358,99.393,99.789,100.000,101.133,100.720,100.073,108.201,108.309,107.607,110.321
 "19000","Iowa",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",94922619,98669407,105329732,117149838,122866107,127670802,137590223,137749220,137094318,142497665,149026089,158553073,162414980,173734222,181471666,183834825,187124993,193155082,196262458,199449595,225055303,244156811,253166525,265794517
 "20000","Kansas",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",119474054,121050453,123486685,124793232,129588206,136135805,143586593,147265037,141902512,143870087,147836794,150077075,150702889,154110108,158602592,164643717,166273557,169796876,169562265,166621390,170401178,177776099,180267528,181599646
 "20000","Kansas",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.854,72.802,74.267,75.053,77.937,81.875,86.356,88.568,85.343,86.526,88.912,90.259,90.636,92.685,95.387,99.020,100.000,102.119,101.978,100.209,102.482,106.918,108.416,109.217
 "20000","Kansas",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",88869746,91359013,95236255,98913682,105343948,113831815,123608880,129223192,126049666,129235713,136747073,141812106,144999332,150276120,155698974,162144500,166273557,173373004,176068770,175385594,188993349,213368786,224851278,230522072
 "21000","Kentucky",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",161316381,165435295,170481890,175344567,182017881,186332640,185790047,186515929,178112837,186720558,188389784,192060141,196698049,196795825,199487129,201007150,203563965,205940089,211783083,206601879,215534978,220641816,226942416,230966362
 "21000","Kentucky",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.246,81.269,83.749,86.137,89.416,91.535,91.269,91.625,87.497,91.726,92.546,94.349,96.627,96.675,97.997,98.744,100.000,101.167,104.038,101.492,105.881,108.389,111.485,113.461
 "21000","Kentucky",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",117767901,122731220,128289581,135694526,144914898,153009818,156899974,160700202,157440097,166656346,171238125,178370587,184920631,188326378,194621164,197944841,203563965,210509119,220678757,218948607,238693721,262586611,283267673,295375304
 "22000","Louisiana",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",210534660,214856125,223576040,234620824,249560897,247139726,234216420,237061610,241868813,253466936,241235869,242416842,236482281,243042891,239584133,235554191,239830737,245220304,246674444,225636003,242582074,240043033,248949396,257055867
 "22000","Louisiana",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.785,89.587,93.222,97.828,104.057,103.048,97.659,98.845,100.850,105.686,100.586,101.078,98.604,101.339,99.897,98.217,100.000,102.247,102.854,94.081,101.147,100.089,103.802,107.182
 "22000","Louisiana",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",138204294,140082830,155198693,170999627,199314180,207249786,203771306,213803512,206111505,226555639,230518675,235960885,231652750,240965026,234324242,227440267,239830737,256444430,257498990,233651988,273063294,304299276,318044299,329172846
 "23000","Maine",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",54066164,55406487,56882376,58934847,59589666,59985952,60032647,59845088,58771837,59958526,59429729,59181697,59013939,59589798,60562978,62037088,63000596,64806287,66758382,67639172,71353454,72884355,75514042,77758621
 "23000","Maine",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.818,87.946,90.289,93.546,94.586,95.215,95.289,94.991,93.288,95.171,94.332,93.938,93.672,94.586,96.131,98.471,100.000,102.866,105.965,107.363,113.258,115.688,119.862,123.425
