GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30013","Cascade, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2938218,3025203,3051457,3185771,3414676,3376737,3451644,3385188,3370900,3483756,3513148,3532650,3466404,3453839,3560168,3563143,3715757,3765477,3717543,3671448,3799231,4123071,4258347,4405442
 "30013","Cascade, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.075,81.416,82.122,85.737,91.897,90.876,92.892,91.104,90.719,93.756,94.547,95.072,93.289,92.951,95.813,95.893,100.000,101.338,100.048,98.808,102.246,110.962,114.602,118.561
 "30013","Cascade, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2018269,2129282,2205669,2375544,2656728,2736179,2898654,2883995,2913362,3058435,3180591,3273959,3256196,3306686,3462744,3485955,3715757,3903335,3911178,3920095,4302988,5101107,5447656,5711533
 "30015","Chouteau, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",103795,154186,201630,177415,174316,195593,224744,245248,131244,203474,231477,229396,214209,171773,166811,135960,199599,268895,277684,284350,195336,301189,330938,227303
 "30015","Chouteau, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",52.002,77.248,101.018,88.886,87.333,97.993,112.598,122.870,65.754,101.941,115.971,114.929,107.320,86.059,83.573,68.117,100.000,134.718,139.121,142.461,97.864,150.897,165.802,113.880
 "30015","Chouteau, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",65690,97844,137458,133700,124417,139636,188600,209673,102957,167905,220975,225138,223620,175467,162414,131494,199599,268215,279591,284353,228322,413395,429760,292455
 "30017","Custer, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",345749,343594,364975,373281,384221,394834,414191,401656,406447,445296,455252,488563,519286,545139,559563,494232,477327,464822,467959,456684,481063,510208,484701,525022
 "30017","Custer, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.435,71.983,76.462,78.202,80.494,82.718,86.773,84.147,85.151,93.290,95.375,102.354,108.790,114.207,117.228,103.542,100.000,97.380,98.037,95.675,100.783,106.889,101.545,109.992
 "30017","Custer, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",242702,247339,269954,285642,301900,321995,353369,350176,356056,395703,412644,455645,495989,529554,545565,484070,477327,477327,493752,494840,547845,627897,624619,695615
 "30019","Daniels, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",82427,92143,77303,85475,82870,80756,94451,60250,90824,153651,83344,156654,114783,92832,82530,86893,95320,93829,99615,115167,113423,107404,95123,97478
 "30019","Daniels, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.474,96.667,81.098,89.672,86.939,84.721,99.088,63.208,95.283,161.195,87.436,164.345,120.419,97.390,86.582,91.160,100.000,98.436,104.506,120.822,118.992,112.678,99.793,102.264
 "30019","Daniels, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",58876,64968,56815,66495,62114,60753,77737,50062,73131,131810,79703,153067,118242,94056,81887,85628,95320,94268,101178,117138,127784,135672,119133,122638
 "30021","Dawson, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",315199,299948,308986,295019,329636,319098,343760,341824,332986,365917,355894,401026,434421,454044,432390,451371,420053,439000,401379,393598,417941,406475,396780,396799
 "30021","Dawson, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.038,71.407,73.559,70.234,78.475,75.966,81.837,81.377,79.272,87.112,84.726,95.471,103.421,108.092,102.937,107.456,100.000,104.511,95.554,93.702,99.497,96.768,94.460,94.464
 "30021","Dawson, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",222497,213771,226926,225005,258471,261104,293679,304242,294963,334400,337963,386866,432961,456077,423558,438461,420053,447274,421056,420249,474271,507116,506910,515127
 "30023","Deer Lodge, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",212935,218857,220061,222939,224296,224207,234209,241673,237466,254966,270497,269018,283355,274762,273603,272851,268402,262970,274292,270631,285600,319553,338383,336614
